"stopPK","sourceStopID","stopName","stopLat","stopLon"
143,B05090P,Simpang Prepedan Benda Raya,-6.106575,106.70192
144,B02948P,Pool Taksi Tanah Kusir,-6.254506,106.77741
145,B05688P,Tegal Parang 2,-6.238571,106.83054
146,B00127P,Benhil 3,-6.21601,106.81632
147,B00245P,Child Care Pre School,-6.257557,106.8009
148,B04944P,Simpang KH Hasyim Cideng Barat,-6.166007,106.81033
149,P00044,CSW 1,-6.23994,106.79843
150,B06803P,Jln. Kramat Jaya Raya,-6.126441,106.916947
151,P00138,Museum Fatahillah,-6.13393,106.81209
152,B01834P,Karet Pedurenan 2,-6.221462,106.82109
153,B01762P,Jembatan Pintu Satu,-6.300382,106.88363
154,B00048P,Aneka PIK Penggilingan,-6.202636,106.92867
155,B02363P,Masjid Nur Alimin 2,-6.302584,106.91756
156,B06641P,Jln. Cinere Raya,-6.3466,106.7767
157,B02892P,PMD,-6.26919,106.84609
158,B02335P,Masjid Jami At Taqwa 2,-6.229704,106.8962
159,B02082P,Casablanca,-6.22425,106.84452
160,P00176,Petojo,-6.169984,106.81698
161,P00237,Sumur Bor,-6.153046,106.71929
162,B04949P,Simpang Kopi Bandengan Selatan,-6.135839,106.80689
163,B03375P,SDN Jelambar Baru 01,-6.147765,106.78324
164,B00777P,Hotel Mega Anggrek,-6.184825,106.78994
165,B05452P,St. Kalideres,-6.166146,106.70466
166,P00120,Kuningan Madya,-6.21341,106.8305
167,B03166P,RS Pluit,-6.125386,106.79987
168,B00101P,Balai Kartini,-6.234791,106.82457
169,B00084P,Atrium 2,-6.17687,106.84042
170,B05890P,Wisma Mandiri,-6.18372,106.82322
171,B02103P,Kuningan Madya 2,-6.213358,106.83027
172,P00059,Flyover Radin Inten,-6.215982,106.92438
173,B00611P,Gelora Bung Karno 1,-6.224642,106.8056
174,B00785P,IBI-K 57,-6.334036,106.833
175,B02178P,Malaka 1 Gg. 3 Rorotan,-6.139309,106.95461
176,B00810P,Istiqlal 1,-6.172371,106.83071
177,P00106,Kebayoran Lama,-6.23834,106.77752
178,B00906P,Jln. Batas II Baru,-6.329867,106.85238
179,B01728P,Jatibening 1,-6.257161,106.94651
180,P00157,Pasar Modern Harapan Indah,-6.168544,106.97431
181,B05604P,Taman Juang 2,-6.179604,106.80554
182,P00196,Pulo Mas Bypass,-6.176953,106.876
183,P00253,Tegalan,-6.203101,106.85715
184,B06808P,Gg. Bambu Sukapura,-6.1369,106.9217
185,B00287P,D Mall,-6.387291,106.8273
186,B01578P,Jln. Serdang,-6.228906,106.91459
187,P00168,Penas Kalimalang,-6.23907,106.878
188,P00071,Gelora Bung Karno,-6.224217,106.8058
189,P00248,Tanjung Priok,-6.10959,106.88214
190,B04542P,Sbr. TDP,-6.245574,106.90948
191,P00160,Patra Kuningan,-6.232677,106.832087
192,B00499P,Gg. Kunir II,-6.133132,106.81435
193,B05177P,Simpang Tj. Duren Timur 5,-6.180482,106.78375
194,B02694P,Ps. Ular Plumpang,-6.130359,106.89453
195,B01830P,Karang Asri 2,-6.116073,106.77399
196,B03267P,Rusun Cakung Barat Albo,-6.16751,106.93243
197,B06768P,Jln. Cipinang Jaya Raya,-6.219144,106.886964
198,B00788P,IGI,-6.182981,106.91917
199,P00140,Pademangan,-6.133704,106.83164
200,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388
201,B03325P,SD Jatinegara Kaum,-6.19781,106.90496
202,B00589P,GBK Pintu 7,-6.222095,106.80861
203,B00102P,Balai Kota 1,-6.180598,106.82847
204,B02965P,Pos Polisi Satrio,-6.225044,106.82827
205,B04290P,Sbr. RS Moh Ridwan Meuraksa,-6.294767,106.88167
206,B06706P,Jln. Tebet Timur Dalam VIII J,-6.242064,106.85845
207,B03155P,RS Mitra Keluarga 1,-6.240672,106.99317
208,B01822P,Kantor Pos Kebayoran Lama,-6.249119,106.778
209,B01619P,Jln. Swadaya I,-6.297164,106.89478
210,B01794P,Kalibata City 1,-6.255951,106.85404
211,B00242P,Centro Metro Broadway,-6.116362,106.76143
212,B01304P,Jln. KRI Harimau,-6.253467,106.79112
213,B01084P,Jln. Gotong Royong Cipinang Muara,-6.227649,106.89623
214,P00179,Pinang Ranti,-6.291075,106.88634
215,B00154P,BKN 1,-6.258026,106.86955
216,B02378P,Masjid Raya Al Musyawarah Kelapa Gading 2,-6.155338,106.90963
217,B02196P,Mall Thamrin City,-6.194341,106.81453
218,B02505P,Museum Textile,-6.188656,106.80954
219,B01599P,Jln. Suci Raya Bogor,-6.318636,106.86474
220,B05405P,SPBU Gedong Panjang,-6.130757,106.80557
221,P00055,Enggano,-6.11015,106.89242
222,B04854P,Simpang Jln. Bongo Raya,-6.170743,106.91001
223,B03266P,Rusun Benhil,-6.201418,106.80789
224,B02167P,Mabes Au Dinas Psikologi,-6.251267,106.88826
225,P00150,Pasar Cempaka Putih,-6.172325,106.86246
226,B04168P,Sbr. Ps. Pisang,-6.207759,106.79233
227,B03360P,SDN Dukuh 01,-6.287794,106.87406
228,B06064P,Jln. Dadap,-6.129073,106.85503
229,P00173,Permata Hijau RS Medika,-6.218401,106.77761
230,P00010,Bank Indonesia Arah Utara,-6.182776,106.8228
231,P00051,Dukuh Atas,-6.205702,106.82223
232,B04092P,Sbr. MI Attarbiyatuddiniyah,-6.358301,106.87415
233,B01983P,Klapa Village H. Naman,-6.238446,106.94173
234,B03305P,Sahid Sudirman Center,-6.211191,106.81794
235,B02192P,Mall Metropolitan,-6.247861,106.99215
236,B00591P,Gebu Minang,-6.225359,106.85576
237,B02032P,Komplek Dolog Jaya,-6.24794,106.91572
238,B04767P,Simpang Cilandak Tengah Raya 2,-6.291453,106.80187
239,B02759P,Pertamina Bina Medika,-6.253111,106.77389
240,B04097P,Sbr. Minimarket Pondok Kelapa,-6.228599,106.93531
241,B05464P,St. Lenteng Agung 2,-6.331342,106.83467
242,B05707P,Term. Kampung Melayu 2,-6.224516,106.86685
243,B04995P,Simpang Manunggal Pintu 2,-6.297193,106.89291
244,B04462P,Sbr. SMPN 10,-6.163653,106.86516
245,B04619P,Sekolah Bhineka Tunggal Ika,-6.150601,106.80763
246,B05680P,Tj. Mas Raya,-6.308428,106.8391
247,B00999P,Jln. Cideng Timur I,-6.169801,106.81103
248,B05544P,Summitmas,-6.225826,106.80402
249,P00269,Velodrome,-6.193468,106.8883
250,B05443P,St. Gg. Sentiong,-6.185997,106.85083
251,P00021,Budi Utomo,-6.166063,106.83906
252,B01308P,Jln. Kunang Kunang 1,-6.256656,107.02149
253,B06699P,SDN Pademangan Timur 05 07,-6.133036,106.84412
254,P00131,Mangga Dua,-6.136148,106.82597
255,B00114P,UPT. LLHD 1,-6.22577,106.83507
256,B06285P,Kantor Kelurahan Baru,-6.323671,106.8512
257,P00043,Cipulir,-6.237818,106.76541
258,B00005P,ACE Hardware,-6.387532,106.82738
259,B03023P,Pusat Pelayanan Warga Summarecon,-6.14844,106.91495
260,B06164P,Jln. B Lagoa Terusan 2,-6.108628,106.91505
261,P00219,Senen,-6.178211,106.84251
262,B00366P,Flyover Pulo Gebang 1,-6.210497,106.95047
263,B02947P,Pool Taksi,-6.188631,106.93426
264,B02414P,Menara Mandiri,-6.223667,106.8071
265,B03312P,Sari Pan Pacific,-6.185037,106.82325
266,B00001P,"18 Office Park",-6.299146,106.8321
267,B05739P,The Wave,-6.214587,106.83642
268,P00018,BNN Arah Barat,-6.24651,106.87318
269,B00329P,Duren Tiga 1,-6.252132,106.82702
270,P00259,Tirtayasa,-6.239207,106.80777
271,B03196P,RSIA Duren Tiga 2,-6.253509,106.84135
272,B02232P,Masjid Al Barkah 2,-6.184779,106.94595
273,P00161,Pecenongan,-6.16771,106.82819
274,P00297,BNN LRT,-6.245863,106.871143
275,B03563P,Sbr. Gg. Saminten,-6.379273,106.84919
276,B01056P,Jln. Elpa Putih II,-6.110053,106.88721
277,B00274P,Cipta Rasuna Said,-6.216146,106.83087
278,P00102,Kampung Sumur,-6.214412,106.91189
279,P00031,Cawang Otista,-6.243607,106.86876
280,B05798P,Transjakarta Pool Klender,-6.205191,106.90301
281,P00143,Pancoran Barat Arah Barat,-6.241672,106.8372
282,P00247,Tanah Merdeka Arah Timur,-6.307866,106.87389
283,B04136P,Sbr. Ps. Cengkareng,-6.151851,106.72708
284,B02708P,Pejambon,-6.175454,106.83269
285,P00064,Garuda Taman Mini,-6.290154,106.88116
286,B06779P,Graha Jasindo,-6.18492,106.835449
287,B00389P,Gama Tower,-6.22414,106.83303
288,B01096P,Jln. H. Aman,-6.226789,106.92316
289,P00245,Tanah Kusir Kodim,-6.256997,106.78168
290,B03610P,Sbr. Grha Intirub,-6.265218,106.8758
291,B05153P,Simpang Squadron,-6.267009,106.87725
292,B00628P,Gereja HKBP Duren Sawit,-6.223308,106.91369
293,P00033,Cawang UKI,-6.250309,106.8736
294,B00248P,Cibubur Junction,-6.368735,106.89366
295,B05233P,Situ Gintung 2,-6.301629,106.76139
296,B02678P,Ps. Santa,-6.238971,106.8126
297,B04031P,Sbr. Masjid Al Mumin,-6.175579,106.90848
298,B00368P,Flyover Radin Inten 1,-6.216112,106.92439
299,B01123P,Jln. H. Mawar Sunter,-6.157856,106.86771
300,B03003P,Pulo Mas 2,-6.174677,106.892419
301,B02859P,Plaza Adorama,-6.258301,106.81519
302,B00377P,Fresh Market PIK,-6.1029,106.74123
303,B05743P,Tirta Mas,-6.185798,106.8913
304,B02048P,Komplek Kodam Jaya Kb. Jeruk,-6.197819,106.77097
305,B06907P,PIK2 Pantjoran,-6.089429,106.741383
306,B04263P,Sbr. Puskesmas Setiabudi,-6.206882,106.83363
307,B04458P,Sbr. SMP Dan SMK Bakti 17,-6.348139,106.80957
308,B00688P,Grand Centro Bintaro,-6.258839,106.75968
309,B02956P,Pos Jaga Trikora 1,-6.241638,106.87981
310,B00917P,Jln. BB Utara,-6.120279,106.79409
311,P00217,Senayan JCC Arah Barat,-6.213906,106.80841
312,B01323P,Jln. Limo Jatinegara Timur,-6.223388,106.86808
313,B05701P,Term. BSD,-6.306375,106.68536
314,B05458P,St. Klender 2,-6.213433,106.89787
315,B02940P,Pool Express Tanah Kusir,-6.255345,106.76911
316,P00211,S Parman Podomoro City Arah Barat,-6.175587,106.79223
317,B05324P,SMKN 56,-6.119094,106.79423
318,B03038P,Puskesmas Balekambang,-6.284147,106.85164
319,B05316P,SMKN 4,-6.141156,106.95555
320,B00383P,Gading Serpong 1,-6.230729,106.64138
321,B04417P,Sbr. SMA Islam As Syafiiyah 01,-6.220785,106.85332
322,B00775P,Hotel Kalisma KS Tubun,-6.188855,106.80824
323,B02943P,Pool Mayasari Bakti,-6.202095,106.90445
324,B02280P,Masjid At Taqwa Karang Tengah,-6.151522,106.97204
325,B00138P,Bidara Cina 1,-6.229954,106.86735
326,B01918P,Kel. Halim Perdana Kusuma,-6.267932,106.87743
327,B01142P,Jln. H. Selong Duri Kosambi,-6.171865,106.72212
328,B00304P,Dewan Pers,-6.182996,106.82709
329,P00167,Pemuda Rawamangun,-6.193488,106.89165
330,B04789P,Simpang Danau Sunter Utara Barat,-6.139853,106.85663
331,B01855P,KBN Marunda 2,-6.110318,106.94452
332,B05898P,Wisma Subud,-6.28496,106.79596
333,B00671P,Graha Dirgantara,-6.255702,106.88296
334,B02425P,Sbr. Kanisius,-6.185519,106.83586
335,B03899P,Sbr. Kec. Jagakarsa,-6.334583,106.8216
336,P00053,Duren Tiga,-6.252377,106.82697
337,B06791P,SDN 11 Batu Ampar,-6.284068,106.85835
338,B02868P,Plaza Oleos,-6.29771,106.82965
339,P00029,Cawang Ciliwung Arah Barat,-6.243292,106.86359
340,P00128,Lebak Bulus,-6.289413,106.77415
341,B04977P,Simpang Mabes Hankam Raya Ceger,-6.306299,106.88855
342,B03715P,Sbr. Jln. H. Kincan Rawa Buaya,-6.164546,106.73543
343,P00037,Cempaka Tengah,-6.170398,106.86659
344,B05478P,St. LRT Velodrome 2,-6.192994,106.89107
345,B02308P,Masjid Jami Al Barkah 2,-6.229538,106.91204
346,B04220P,Sbr. Polsek Pulo Gadung,-6.209444,106.89101
347,P00114,Kemayoran Landas Pacu Timur,-6.152181,106.85424
348,B00100P,Baladewa Residence,-6.229648,106.91038
349,B05695P,Telkom Tebet,-6.224064,106.8516
350,B02105P,Kuningan Timur 2,-6.235912,106.82765
351,P00013,Kota,-6.13679,106.8149
352,B02374P,Masjid Pondok Indah 2,-6.261469,106.78201
353,B01233P,Jln. Kb. Kacang X,-6.18713,106.8201
354,B00462P,Gg. H. Bunen 2,-6.232848,106.88526
355,B02831P,Phe Tower Kebagusan,-6.299876,106.83323
356,B02510P,Mushola Al Jihad Perintis Kemerdekaan,-6.173541,106.89171
357,B01520P,Jln. Pule Ciracas,-6.314331,106.8759
358,B06119P,Jln. Prima,-6.123869,106.71834
359,B04195P,Sbr. Perum Taman Malaka,-6.231282,106.92863
360,B04625P,Sekolah Cita Buana,-6.316189,106.81425
361,B02398P,Mega Syariah,-6.228294,106.83335
362,B05232P,Situ Gintung 1,-6.300534,106.76234
363,B02834P,Pintu 3 TMII,-6.305153,106.88853
364,P00225,Slipi Kemanggisan Arah Selatan,-6.189781,106.79726
365,B00855P,Jln. Anggrek Petukangan,-6.231319,106.75204
366,B03882P,Sbr. Jembatan Item,-6.130197,106.85511
367,B00971P,Jln. Cakrawala,-6.264083,106.88424
368,B04276P,Sbr. RS Bhakti Mulia,-6.199976,106.801
369,B00179P,BPJS Ketenagakerjaan Marunda,-6.104983,106.93254
370,P00230,St. Palmerah,-6.208908,106.79706
371,B03898P,Sbr. Kec. Ciracas,-6.320058,106.88301
372,P00002,Ahmad Yani Bea Cukai,-6.205526,106.87378
373,B04368P,Sbr. SDN Rorotan 03,-6.144294,106.95622
374,B00770P,Honda Letjen Suprapto,-6.174933,106.84973
375,B01170P,Jln. Jatipadang Poncol,-6.297767,106.83089
376,B01795P,Kalibata City 2,-6.255816,106.85237
377,B00880P,Jln. B Karang Anyar,-6.155646,106.82754
378,B03447P,Sbr. Apartemen Gading Nias,-6.154013,106.91607
379,B00322P,DPR MPR 2,-6.206314,106.80194
380,B00105P,Balai Sudirman,-6.227043,106.84742
381,B00126P,Benhil 2,-6.216775,106.8154
382,B02781P,Pertigaan Pejaten Barat,-6.275464,106.82066
383,P00281,Slipi Petamburan Arah Selatan,-6.201948,106.79998
384,B06086P,Tebet Eco Park Selatan 3,-6.241699,106.85365
385,B05833P,Univ. Moestopo Bintaro,-6.258469,106.76529
386,B02090P,KPP Pratama Pasar Rebo,-6.301337,106.86865
387,B02373P,Masjid Pondok Indah 1,-6.261581,106.78234
388,B00221P,Bundaran Senayan 1,-6.227445,106.80187
389,P00011,Bekasi Barat,-6.250045,106.99167
390,P00112,Kejaksaan Agung,-6.2405,106.79844
391,P00263,TU Gas,-6.19241,106.90489
392,B00666P,GP Mall 2,-6.259474,107.01987
393,P00081,Indosiar,-6.163376,106.77514
394,B02604P,Ps. Enjo 2,-6.214775,106.87785
395,B01085P,Jln. Grafika,-6.290158,106.77095
396,P00218,Senayan JCC Arah Timur,-6.214145,106.809
397,P00097,Juanda,-6.168048,106.83089
398,B04209P,Sbr. Plaza Kemang 88,-6.270024,106.81553
399,B01249P,Jln. Kelapa Hybrida IV,-6.146604,106.90973
400,P00069,Gedong Panjang,-6.132617,106.80596
401,P00035,Cempaka Mas,-6.165888,106.8792
402,B01405P,Jln. Muara 1,-6.304063,106.85061
403,B06777P,Ps. Cakung 1,-6.182424,106.935415
404,B04057P,Sbr. Masjid Jami Al Muttaqin Balekambang,-6.283996,106.85052
405,B01875P,Kec. Kembangan,-6.195068,106.74247
406,B00853P,Jln. Ampera VI Gunung Sahari,-6.135162,106.83211
407,B05653P,Taman Simpang Jatinegara,-6.217541,106.87352
408,P00074,Grogol 1,-6.166824,106.78971
409,B01995P,Klinik Persada Sari,-6.17728,106.72226
410,B04804P,Simpang Gading Mas Biru Laut,-6.166526,106.90893
411,P00133,Masjid Agung,-6.236483,106.79845
412,B06269P,Jln. Tebet Barat Raya,-6.233919,106.85064
413,P00200,Rawa Barat,-6.238947,106.81624
414,B02026P,Komplek Ddn Bintara Jaya,-6.242328,106.94271
